english_w,tulu_w
name,ಪುದರ್
how,ಎಂಚ
why,ದಾಯೆಗ್
you,ಈರ್
mom,ಅಮ್ಮ
dad,ಅಪ್ಪ
sister,ಮೆಗ್ದಿ
brother,ಪಲಯೆ
home,ಇಲ್ಲ್
friend,ದೋಸ್ತಿ
name,ಪುದರ್
what is your name,ನಿನ್ನ ಪುದರ್ ದಾದ
how are you,ಯೀರ್ ಎಂಚ ಉಲ್ಲರ್
I,ಯಾನ್
you,ಈರ್
he,ಆಯೆ
she,ಆಲ್
it,ಉಂದು
we,ನಮ
they,ಅಕುಲು
a,ಒಂಜಿ
an,ಒಂಜಿ
the,ಆ
in,ಉಲಯಿ
on,ಮಿತ್ತುಗು
under,ಅಡಿಟ್ಟ್
over,ಮುಗಿಂಡ್
with,ಒಟ್ಟುಗು
without,ಉಪ್ಪಂದೆ
before,ದುಂಬು
after,ಬೊಕ
and,ಬೊಕ
but,ಆಂಡ
or,ಅಥವಾ
so,ಇಂಚಾದ್
because,ದಾಯೆಗ್ ಪಂಡ
although,ಇಂಚಾ೦ಡಲಾ
one,ಒಂಜಿ
two,ರಡ್ಡ್
three,ಮೂಜಿ
four,ನಾಲ್
five,ಐನ್
six,ಆಜಿ
seven,ಏಳ್
eight,ಎಣ್ಮ
nine,ಒರಂಬ
ten,ಪತ್ತು
hundred,ನೂದು
thousand,ಸಾವಿರ
lakh,ಲಕ್ಷ
crore,ಕೋಟಿ
Monday,ಸೋಮಾರ
Tuesday,ಅಂಗಾರೆ
Wednesday,ಬುದಾರ
Thursday,ಗುರುವಾರ
Friday,ಶುಕ್ರಾರ
Saturday,ಶನಿವಾರ
Sunday,ಅಯಿತಾರ
January,ಜನವರಿ
February,ಫೆಬ್ರವರಿ
March,ಮಾರ್ಚಿ
April,ಏಪ್ರಿಲ್
May,ಸಾಧ್ಯತೆ
June,ಜೂನ್
July,ಜುಲೈ
August,ಆಗಸ್ಟ್
September,ಸಪ್ಟಂಬರ್
October,ಅಕ್ಟೋಬರ್
November,ನವೆಂಬರ್
December,ಡಿಸೆಂಬರ್
today,ಇನಿ
tomorrow,ಎಲ್ಲೆ
yesterday,ಕೋಡೆ
morning,ಕಾಂಡೆ
evening,ಬಯ್ಯ
night,ರಾತ್ರೆ
always,ಯೆದಾಲ
never,ಏಪಲಾ
hello,ಅಂದೇ
good morning,ಎದ್ದೆ ಕಾಂಡೆ
good night,ಎಡ್ಡೆ ರಾತ್ರಿ
thank you,ಯೀರೆಗ್ ಸೊಲ್ಮೆಲು
sorry,ತಪ್ಪಾಂಡ್
please,ದಯಮಲ್ತುದು
welcome,ಸ್ವಾಗತ
father,ಅಮ್ಮೆ
mother,ಅಪ್ಪೆ
brother,ಪಲಯೆ
sister,ಮೆಗ್ದಿ
son,ಮಗೆ
daughter,ಮಗಲ್
uncle,ಮಾಮು
aunt,ಮಾಮಿ
rice,ಆರಿ
fish,ಮೀನ್
water,ನೀರ್
tea,ಚಾ
milk,ಪೇರ್
coconut,ತಾರಾಯಿ
bread,ಬ್ರೆಡ್
sugar,ಸೆಕ್ಕರೆ
salt,ಉಪ್ಪು
head,ಮಂಡೆ
hand,ಕೈ
leg,ಕಾರ್
eyes,ಕಣ್ಣುಲು
ears,ಕೆಮಿಕುಲು
nose,ಮೂಂಕು
mouth,ಬಾಯಿ
stomach,ಬಂಜಿ
shirt,ಅಂಗಿ
pants,ಪ್ಯಾಂಟುಲು
saree,ಸೀರೆ
dhoti,ಧೋತಿ
shoes,ಮುಟ್ಟು
cap,ಕ್ಯಾಪ್
home,ಇಲ್ಲ್
school,ಶಾಲೆ
market,ಸಂತೆ
hospital,ಆಸ್ಪತ್ರೆ
temple,ದೇವಸ್ಥಾನ
bus stop,ಬಸ್ ನಿಲ್ದಾಣ
office,ಆಪೀಸ್
sun,ಸೂರ್ಯೆ
moon,ಚಂದ್ರೆ
rain,ಬರ್ಸ
river,ತುದೆ
tree,ಮರ
flower,ಪೂ
soil,ಮಣ್ಣ್
sky,ಬಾನ
star,ತಾರಗೆ
be,ಉಪ್ಪು
have,ಪಡೆವೊನ್
do,ಮಲ್ಪುಲೆ
go,ಪೋ
come,ಬಲ
eat,ತಿನ್
drink,ಪರ್
sleep,ಜೆಪ್ಪು
run,ಬಲ್ಪು
walk,ನಡಕೆ
sit,ಕುಲ್ಲ್
stand,ಅಭಿಪ್ರಾಯ
say,ಪನ್
talk,ಪಾತೆರ
see,ತೂಲ
hear,ಕೇನ್
read,ಓದು
write,ಬರೆಲೆ
learn,ಕಲ್ಪುನು
give,ಕೊರ್
take,ದೆತೊನಿ
buy,ದೆತ್ತೊನ್
sell,ಮಾರುನು
play,ಆಟ
work,ಬೆಲೆ
wait,ಕಾಪು
What is your name?,ನಿನ್ನ ಪುದರ್ ದಾದ?
My name is …,ಎನ್ನ ಪುದರ್ …
How are you?,ಯೀರ್ ಎಂಚ ಉಲ್ಲರ್?
I am fine.,ಯಾನ್ ಹುಷಾರ್ ಉಲ್ಲೆ.
Where are you going?,ಈರ್ ಎಲ್ಲಿಗ್ ಪೋವೊಂದುಲ್ಲರ್?
I am going to school.,ಯಾನ್ ಶಾಲೆಗ್ ಪೋವೊಂದುಲ್ಲೆ.
Do you want food?,ನಿಕ್ಲೆಗ್ ಆಹಾರ ಬೋಡು?
"Yes, I want.","ಐನ್, ಎಂಕ್ ಬೋಡು."
"No, I don’t want.","ಇಜ್ಜಿ, ಎಂಕ್ ಇಷ್ಟ ಇಜ್ಜಿ."
Please help me.,ದಯಮಲ್ತ್ ಎಂಕ್ ಸಹಾಯ ಮಲ್ಪುಲೆ.
I don’t understand.,ಎಂಕು ಅರ್ಥ ಆಪುಜ್ಜಿ.
What is this?,ಉಂದು ಎಂಚಿನ?
This is water.,ಉಂದು ನೀರ್.
How much is this?,ಉಂದು ಎಂಚ ಉಂಡು?
I am hungry.,ಎಂಕ್ ಬಂಜಿ ಉಂಡು.
I am thirsty.,ಎಂಕ್ ಬಾಸೆ ಉಂಡು.
See you tomorrow.,ಎಲ್ಲೆ ಪಾರ್ತೆಕ.
okay,ಆವು
yes,ಅಂದ್
no,ಇಜ್ಜಿ
maybe,ಆದುಪ್ಪು
excuse me,ಎನನ್ ಮಾಪ್ ಮಲ್ಪುಲೆ
sorry,ತಪ್ಪಾಂಡ್
thank you,ಯೀರೆಗ್ ಸೊಲ್ಮೆಲು
please,ದಯಮಲ್ತುದು
really?,ನಿಜವಾದು?
of course,ಸತ್ಯವಾದ್
car,ಕಾರ್
bus,ಬಸ್
train,ರೈಲ್
bicycle,ಸ್ಕೂಟರ್
road,ತಾದಿ
bridge,ಸಂಕ
ticket,ಟಿಕೆಟ್
red,ಕೆಂಪು
blue,ನೀಲಿ
green,ಪಚ್ಚೆ
black,ಕಪ್ಪು
white,ಬೊಳ್ದು
yellow,ಮಂಜಲ್
cow,ಪೆತ್ತ
dog,ನಾಯಿ
cat,ಪುಚ್ಚೆ
chicken,ಕೋರಿ
elephant,ಆನೆ
monkey,ಮಂಗೆ
tiger,ಪಿಲಿ
farmer,ಬೆನ್ನಿದಾಯೆ
teacher,ಗುರುಕ್ಕುಲು
doctor,ಡಾಕ್ಟ್ರು
student,ವಿದ್ಯಾರ್ಥಿ
worker,ಬೇಲೆದಾರ್
fisherman,ಮೀನುಗಾರೆ
phone,ಫೋನ್
computer,ಕಂಪ್ಯೂಟರ್
internet,ಅಂತರ್ಜಾಲ
electricity,ವಿದ್ಯುತ್
battery,ಬ್ಯಾಟರಿ
friend,ದೋಸ್ತಿ
relative,ಸಂಬಂಧ
neighbor,ನೆರೆಕರೆ
child,ಬಾಲೆ
baby,ಬಾಲೆ
young,ಜವನೆ
old,ಪರತ್ತ್
man,ಆಂಜೊವ್
woman,ಪೊಂಜೋವು
boy,ಆಣ್
girl,ಪೊಣ್ಣು
food,ತಿನಸ್
drink,ಪರ್
house,ಇಲ್ಲ್
room,ಕೋಣೆ
door,ಬಾಕಿಲ್
window,ಕಂಡಿ
road,ತಾದಿ
street,ತಾದಿ
village,ಗ್ರಾಮ
city,ಪೇಂಟೆ
money,ಕಾಸ್
price,ಬಿಲೆ
work,ಬೆಲೆ
job,ಕೆಲಸ
study,ಅಭ್ಯಾಸ
exam,ಪರೀಕ್ಷೆ
book,ಪುಸ್ತಕ
pen,ಪೆನ್ನ್
paper,ಕಾಕಜಿ
notebook,ನೋಟ್ಬುಕ್
chair,ಕುರ್ಚಿ
table,ಮೇಜ್
bed,ಹಾಸಿಗೆ
fan,ಬೆಂಬಲಿಗೆರ್
light,ಬೊಲ್ಪು
phone number,ಫೋನ್ ನಂಬರ್
address,ವಿಳಾಸ
market,ಸಂತೆ
shop,ಅಂಗಡಿ
police,ಪೋಲಿಸ್
hospital,ಆಸ್ಪತ್ರೆ
doctor,ಡಾಕ್ಟ್ರು
medicine,ಮರ್ದ್
bus,ಬಸ್
train,ರೈಲ್
station,ಸ್ಟೇಷನ್
ticket,ಟಿಕೆಟ್
time,ಪೊರ್ತು
hour,ಗಂಟೆ
minute,ನಿಮಿಷ
second,ರಡ್ಡನೆ
hot,ಬೆಚ್ಚ
cold,ಚಳಿ
big,ಮಲ್ಲ
small,ಎಲ್ಯ
new,ಪೊಸತ್ತ್
old,ಪರತ್ತ್
fast,ಬೇಗ
slow,ನಿಧಾನ
good,ಏಡ್ಡೆ
bad,ಪಡ್ಕೆ
beautiful,ಪೊರ್ಲು
ugly,ಕುರೆ
clean,ಮಡಿ
dirty,ಕುರೆ
Where are you from?,ಯೀರೆಗು ಒಲ್ಪ ಆಂಡ್?
I am from Mangalore.,ಯಾನ್ ಕುಡ್ಲದಕುಲು.
What is your age?,ನಿಕ್ಲೆನ ಪ್ರಾಯ ಎಂಚ ಉಂಡು?
I am 19 years old.,ಎಂಕ್ 19 ವರ್ಷ.
Can you speak Tulu?,ತುಳು ಪಾತೆರೊಲಿಯಾ?
I don’t know Tulu.,ಎಂಕ್ ತುಳು ಗೊತ್ತುಜ್ಜಿ.
Please speak slowly.,ದಯಮಲ್ತ್ ನಿಧಾನವಾದ್ ಪಾತೆರ್ಲೆ.
Can you repeat that?,ಈರ್ ಅವೆನ್ ಪುನರಾವರ್ತಿಸೊಲಿ?
Where is the bus stop?,ಬಸ್ ನಿಲ್ದಾಣ ಎಲ್ಲಿ ಉಂಡು?
How much is the ticket?,ಟಿಕೆಟ್ ಎಂಚ ಉಂಡು?
I need a doctor.,ಎಂಕ್ ಒರಿ ಡಾಕ್ಟರ್ ಬೋಡು.
Call the police.,ಪೊಲೀಸ್ ಲೆಗ್ ಕಾಲ್ ಮಲ್ಪುಲೆ.
I am not feeling well.,ಎಂಕ್ ಎಡ್ಡೆ ಅನುಭವ ಆವೊಂದಿಜ್ಜಿ.
What time is it?,ಇತ್ತೆ ಎಂಚ ಗಂಟೆ ಆತ್ಂಡ್?
It is 5 o’clock.,ಇತ್ತೆ ೫ ಗಂಟೆ ಆತ್ಂಡ್.
Where is your house?,ನಿಕ್ಲೆನ ಇಲ್ಲ್ ಎಲ್ಲೆ ಉಂಡು?
My house is near the temple.,ಎನ್ನ ಇಲ್ಲ್ ದೇವಸ್ಥಾನದ ಕೈತಲ್ ಉಂಡು.
I am studying in college.,ಯಾನ್ ಕಾಲೇಜಿಡ್ ಕಲ್ತೊಂದು ಉಲ್ಲೆ.
I am working in an office.,ಯಾನ್ ಒಂಜಿ ಆಫೀಸ್ ಡ್ ಬೇಲೆ ಮಲ್ತೊಂದುಲ್ಲೆ.
Do you understand?,ನಿಕ್ಲೆಗ್ ಅರ್ಥ ಆಂಡ್?
"Yes, I understand.","ಐನ್, ಎಂಕ್ ಅರ್ಥ ಆಂಡ್."
"No, I don’t understand.","ಇಜ್ಜಿ, ಎಂಕ್ ಅರ್ಥ ಆಪುಜಿ."
Can you help me?,ಈರ್ ಎಂಕ್ ಸಹಾಯ ಮಲ್ಪೊಲಿಯಾ?
I am going home.,ಯಾನ್ ಇಲ್ಲಗ್ ಪೋವೊಂದುಲ್ಲೆ.
I am coming now.,ಯಾನ್ ಇತ್ತೆ ಬರ್ಪೆ.
I am waiting for you.,ಯಾನ್ ನಿಕ್ಲೆಗ್ ಕಾತೊಂದುಲ್ಲೆ.
I am very happy.,ಎಂಕ್ ಮಸ್ತ್ ಸಂತೋಷ ಉಂಡು.
I am tired.,ಎಂಕ್ ಸುಸ್ತಾದ್ ಉಲ್ಲೆ.
I am busy now.,ಇತ್ತೆ ಯಾನ್ ಬಿಜಿ ಉಲ್ಲೆ.
Don’t worry.,ಎತೆ ಮಲ್ಪಡೆ.
Take care.,ಜಾಗ್ರತೆ.
See you later.,ನಿಕ್ಕು ಬೊಕ ತಿಕ್ವೆ.
buttermilk,ಮಜ್ಜಿಗೆ
curd,ದೋಸೆ
butter,ಬೊಳ್ ನೈ
ghee,ತುಪ್ಪ
honey,ತಿಗತ ನೈ
salt,ಉಪ್ಪು
pepper,ಎಡ್ದೆ ಮುಂಚಿ
chili,ಮೆಣಸಿನಕಾಯಿ
spice,ಮಸಾಲೆ
curry,ಕಜಿಪು
vegetable,ತರ್ಕಾರಿ
fruit,ಪರ್ ನ್ದ್
banana,ಪರ್ನ್ದು
mango,ಮಾವಿನ
jackfruit,ಜಾಕ್ ಫ್ರುಟ್
coconut,ತಾರಾಯಿ
orange,ಕಿತ್ತಲೆ
apple,ಸೇಬ್
grapes,ದ್ರಾಕ್ಷಿ
lemon,ನಿಂಬೆ
sugarcane,ಕಬ್ಬು
potato,ಬಟಾಟೆ
tomato,ಟೊಮೆಟೊ
onion,ನೀರುಳ್ಳಿ
garlic,ಬೊಳ್ಳುಳ್ಳಿ
ginger,ಸೂಂಠಿ
carrot,ಕ್ಯಾರೆಟ್
beans,ಕಾಳು
brinjal,ಬೆನ್ನಿ
drumstick,ಡ್ರಮ್ಸ್ಟಿಕ್
pumpkin,ಕುಂಬುಡ
cabbage,ಕ್ಯಾಬೇಜ್
cauliflower,ಹೂಕೋಸು
ladyfinger,ಲೇಡಿಫಿಂಗರ್
spinach,ಬಸಳೆ
cucumber,ಕುಂಬುಡ
market,ಸಂತೆ
shop,ಅಂಗಡಿ
shopping,ಖರೀದಿ ಮಲ್ಪುನು
buy,ದೆತ್ತೊನ್
sell,ಮಾರುನು
money,ಕಾಸ್
price,ಬಿಲೆ
cheap,ಕಮ್ಮಿ ಕ್ರಯ
